Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_32_LR_0.001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,32,0.001,0.2,3,64,100,15,0.985,0.985,0.9851,0.985,0.0804,0.0638,0.984,0.984,0.9838,0.9839990716947483
BS_64_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,64,0.001,0.3,2,256,100,15,0.983,0.983,0.9831,0.983,0.0622,0.0513,0.9915,0.9915,0.9834,0.9835012471944359
BS_64_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,64,0.0001,0.2,3,256,100,15,0.984,0.984,0.9841,0.984,0.0673,0.0514,0.989,0.989,0.9833,0.9834980974469854
BS_128_LR_0.001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,128,0.001,0.2,2,64,100,15,0.986,0.986,0.9861,0.986,0.0691,0.0536,0.9905,0.9905,0.9833,0.9834957512504794
BS_32_LR_0.0001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,32,0.0001,0.4,2,128,100,15,0.983,0.983,0.983,0.983,0.0761,0.059,0.9895,0.9895,0.9833,0.9834980974469854
BS_128_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,128,0.001,0.3,2,64,100,15,0.982,0.982,0.982,0.982,0.0689,0.0542,0.9925,0.9925,0.9833,0.9834957512504794
BS_32_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,32,0.0001,0.3,2,128,100,15,0.982,0.982,0.9821,0.982,0.0787,0.0592,0.991,0.991,0.9832,0.9835003095980892
BS_32_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,32,0.0001,0.2,2,128,100,15,0.983,0.983,0.983,0.983,0.0738,0.0579,0.99,0.99,0.9828,0.9829945197690608
BS_128_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,128,0.001,0.2,2,256,100,15,0.985,0.985,0.9851,0.985,0.0788,0.061,0.9895,0.9895,0.9828,0.9830049989544325
BS_32_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,32,0.0001,0.4,3,256,100,15,0.984,0.984,0.9841,0.984,0.0686,0.0523,0.9915,0.9915,0.9828,0.9829970223890515
BS_64_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,64,0.001,0.2,2,256,100,15,0.984,0.984,0.984,0.984,0.0652,0.051,0.993,0.993,0.9828,0.9829945197690608
BS_64_LR_0.0001_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,64,0.0001,0.3,3,256,100,15,0.981,0.981,0.9812,0.981,0.074,0.0532,0.9905,0.9905,0.9828,0.9830033096327718
BS_32_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,32,0.0001,0.2,2,256,100,15,0.983,0.983,0.9831,0.983,0.0695,0.0547,0.9935,0.9935,0.9828,0.9829945197690608
